antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'bb_position=Normal', 'rsi_overbought'})","frozenset({'volume_ratio=Low', 'rsi=Overbought'})",0.1346153846153846,0.23076923076923078,0.1346153846153846,1.0,4.333333333333333,1.0,0.10355029585798817,inf,0.888888888888889,0.5833333333333331,1.0,0.7916666666666666
"frozenset({'bb_position=Normal', 'macd_bullish', 'rsi_overbought'})","frozenset({'volume_ratio=Low', 'rsi=Overbought'})",0.12087912087912088,0.23076923076923078,0.12087912087912088,1.0,4.333333333333333,1.0,0.0929839391377853,inf,0.8750000000000001,0.5238095238095238,1.0,0.7619047619047619
"frozenset({'price_change_pct=Positive', 'bb_position=Normal', 'rsi_overbought'})","frozenset({'volume_ratio=Low', 'rsi=Overbought'})",0.13186813186813187,0.23076923076923078,0.13186813186813187,1.0,4.333333333333333,1.0,0.1014370245139476,inf,0.8860759493670886,0.5714285714285714,1.0,0.7857142857142857
"frozenset({'bb_position=Normal', 'price_change_pct=Positive', 'macd_bullish', 'rsi_overbought'})","frozenset({'volume_ratio=Low', 'rsi=Overbought'})",0.11813186813186813,0.23076923076923078,0.11813186813186813,1.0,4.333333333333333,1.0,0.09087066779374471,inf,0.8722741433021808,0.511904761904762,1.0,0.7559523809523809
frozenset({'rsi_overbought'}),frozenset({'rsi=Overbought'}),0.2087912087912088,0.23626373626373626,0.2087912087912088,1.0,4.232558139534884,1.0,0.15946141770317596,inf,0.9652777777777778,0.8837209302325583,1.0,0.9418604651162791
"frozenset({'macd_bullish', 'rsi_overbought'})",frozenset({'rsi=Overbought'}),0.19505494505494506,0.23626373626373626,0.19505494505494506,1.0,4.232558139534884,1.0,0.14897053495954596,inf,0.9488054607508533,0.8255813953488371,1.0,0.9127906976744187
"frozenset({'price_change_pct=Positive', 'rsi_overbought'})",frozenset({'rsi=Overbought'}),0.20604395604395603,0.23626373626373626,0.20604395604395603,1.0,4.232558139534884,1.0,0.15736324115444994,inf,0.9619377162629758,0.872093023255814,1.0,0.936046511627907
"frozenset({'volume_ratio=Low', 'rsi_overbought'})",frozenset({'rsi=Overbought'}),0.2032967032967033,0.23626373626373626,0.2032967032967033,1.0,4.232558139534884,1.0,0.15526506460572395,inf,0.9586206896551723,0.8604651162790697,1.0,0.9302325581395349
"frozenset({'bb_position=Normal', 'rsi_overbought'})",frozenset({'rsi=Overbought'}),0.1346153846153846,0.23626373626373626,0.1346153846153846,1.0,4.232558139534884,1.0,0.10281065088757396,inf,0.8825396825396825,0.569767441860465,1.0,0.7848837209302326
"frozenset({'price_change_pct=Positive', 'macd_bullish', 'rsi_overbought'})",frozenset({'rsi=Overbought'}),0.19230769230769232,0.23626373626373626,0.19230769230769232,1.0,4.232558139534884,1.0,0.14687235841081997,inf,0.9455782312925171,0.813953488372093,1.0,0.9069767441860466
